Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.065,
2,2,1,138.797411,0,1.7976931348623157E308,-1,0.0,0.0,1,138.797411,1,0.0,SAT,,0.083,
3,3,1,106.147526,0,1.7976931348623157E308,-1,0.0,0.0,1,106.147526,1,0.0,SAT,,0.057,
4,4,1,100.741286,0,1.7976931348623157E308,-1,0.0,0.0,1,100.741286,1,0.0,SAT,,0.055,
5,5,1,22.908267,0,1.7976931348623157E308,-1,0.0,0.0,1,22.908267,1,0.0,SAT,,0.064,
6,6,1,24.781846,0,1.7976931348623157E308,-1,0.0,0.0,1,24.781846,1,0.0,SAT,,0.055,
7,7,1,109.288242,0,1.7976931348623157E308,-1,0.0,0.0,1,109.288242,1,0.0,SAT,,0.054,
8,8,1,22.652575,0,1.7976931348623157E308,-1,0.0,0.0,1,22.652575,1,0.0,SAT,,0.054,
9,9,1,8.257713,0,1.7976931348623157E308,-1,0.0,0.0,1,8.257713,1,0.0,SAT,,0.054,
10,10,1,31.083208,0,1.7976931348623157E308,-1,0.0,0.0,1,31.083208,1,0.0,SAT,,0.053,
11,11,1,33.475528,0,1.7976931348623157E308,-1,0.0,0.0,1,33.475528,1,0.0,SAT,,0.054,
12,12,1,95.134454,0,1.7976931348623157E308,-1,0.0,0.0,1,95.134454,1,0.0,SAT,,0.053,
13,13,1,57.973757,0,1.7976931348623157E308,-1,0.0,0.0,1,57.973757,2,0.0,SAT,,0.054,
14,14,1,17.521807,0,1.7976931348623157E308,-1,0.0,0.0,1,17.521807,2,0.0,SAT,,0.053,
15,15,1,2.745185,0,1.7976931348623157E308,-1,0.0,0.0,1,2.745185,2,0.0,SAT,,0.059,
16,16,1,20.017232,0,1.7976931348623157E308,-1,0.0,0.0,1,20.017232,2,0.0,SAT,,0.053,
17,17,1,34.946246,0,1.7976931348623157E308,-1,0.0,0.0,1,34.946246,2,0.0,SAT,,0.053,
18,18,1,4.296516,0,1.7976931348623157E308,-1,0.0,0.0,1,4.296516,2,0.0,SAT,,0.054,
19,19,1,7.723783,0,1.7976931348623157E308,-1,0.0,0.0,1,7.723783,2,0.0,SAT,,0.054,
20,20,1,3.205369,0,1.7976931348623157E308,-1,0.0,0.0,1,3.205369,2,0.0,SAT,,0.054,
21,21,1,74.033421,0,1.7976931348623157E308,-1,0.0,0.0,1,74.033421,2,0.0,SAT,,0.053,
22,22,1,157.067961,0,1.7976931348623157E308,-1,0.0,0.0,1,157.067961,2,0.0,SAT,,0.053,
23,23,1,3.025129,0,1.7976931348623157E308,-1,0.0,0.0,1,3.025129,3,0.0,SAT,,0.054,
24,24,1,219.025582,0,1.7976931348623157E308,-1,0.0,0.0,1,219.025582,3,0.0,SAT,,0.053,
25,25,1,55.650735,0,1.7976931348623157E308,-1,0.0,0.0,1,55.650735,3,0.0,SAT,,0.053,
26,26,1,20.948197,0,1.7976931348623157E308,-1,0.0,0.0,1,20.948197,3,0.0,SAT,,0.053,
27,27,1,38.762574,0,1.7976931348623157E308,-1,0.0,0.0,1,38.762574,3,0.0,SAT,,0.053,
28,28,1,55.60345,0,1.7976931348623157E308,-1,0.0,0.0,1,55.60345,3,0.0,SAT,,0.053,
29,29,1,78.72882,0,1.7976931348623157E308,-1,0.0,0.0,1,78.72882,3,0.0,SAT,,0.053,
30,30,1,1.552768,0,1.7976931348623157E308,-1,0.0,0.0,1,1.552768,3,0.0,SAT,,0.053,
31,31,1,2.420842,0,1.7976931348623157E308,-1,0.0,0.0,1,2.420842,3,0.0,SAT,,0.052,
32,32,1,46.78021,0,1.7976931348623157E308,-1,0.0,0.0,1,46.78021,3,0.0,SAT,,0.056,
33,33,1,86.386964,0,1.7976931348623157E308,-1,0.0,0.0,1,86.386964,4,0.0,SAT,,0.053,
34,34,1,72.910602,0,1.7976931348623157E308,-1,0.0,0.0,1,72.910602,4,0.0,SAT,,0.054,
35,35,1,86.419972,0,1.7976931348623157E308,-1,0.0,0.0,1,86.419972,4,0.0,SAT,,0.054,
36,36,1,13.173972,0,1.7976931348623157E308,-1,0.0,0.0,1,13.173972,4,0.0,SAT,,0.054,
37,37,1,61.665018,0,1.7976931348623157E308,-1,0.0,0.0,1,61.665018,4,0.0,SAT,,0.054,
38,38,1,36.807408,0,1.7976931348623157E308,-1,0.0,0.0,1,36.807408,4,0.0,SAT,,0.053,
39,39,1,102.609588,0,1.7976931348623157E308,-1,0.0,0.0,1,102.609588,4,0.0,SAT,,0.05,
40,40,1,55.576438,0,1.7976931348623157E308,-1,0.0,0.0,1,55.576438,4,0.0,SAT,,0.054,
41,41,1,81.591872,0,1.7976931348623157E308,-1,0.0,0.0,1,81.591872,4,0.0,SAT,,0.054,
42,42,1,3.990381,0,1.7976931348623157E308,-1,0.0,0.0,1,3.990381,4,0.0,SAT,,0.054,
43,43,1,63.112234,0,1.7976931348623157E308,-1,0.0,0.0,1,63.112234,4,0.0,SAT,,0.054,
44,44,1,56.70178,0,1.7976931348623157E308,-1,0.0,0.0,1,56.70178,5,0.0,SAT,,0.053,
45,45,1,2.208771,0,1.7976931348623157E308,-1,0.0,0.0,1,2.208771,5,0.0,SAT,,0.054,
46,46,1,59.378661,0,1.7976931348623157E308,-1,0.0,0.0,1,59.378661,5,0.0,SAT,,0.053,
47,47,1,95.628811,0,1.7976931348623157E308,-1,0.0,0.0,1,95.628811,5,0.0,SAT,,0.053,
48,48,1,58.758272,0,1.7976931348623157E308,-1,0.0,0.0,1,58.758272,5,0.0,SAT,,0.052,
49,49,1,76.525831,0,1.7976931348623157E308,-1,0.0,0.0,1,76.525831,5,0.0,SAT,,0.053,
50,50,1,52.627802,0,1.7976931348623157E308,-1,0.0,0.0,1,52.627802,5,0.0,SAT,,0.053,
51,51,1,98.4404,0,1.7976931348623157E308,-1,0.0,0.0,1,98.4404,5,0.0,SAT,,0.052,
52,52,1,51.53489,0,1.7976931348623157E308,-1,0.0,0.0,1,51.53489,5,0.0,SAT,,0.053,
53,53,1,118.094565,0,1.7976931348623157E308,-1,0.0,0.0,1,118.094565,5,0.0,SAT,,0.052,
54,54,1,58.876573,0,1.7976931348623157E308,-1,0.0,0.0,1,58.876573,5,0.0,SAT,,0.053,
55,55,1,13.865349,0,1.7976931348623157E308,-1,0.0,0.0,1,13.865349,6,0.0,SAT,,0.053,
56,56,1,90.139983,0,1.7976931348623157E308,-1,0.0,0.0,1,90.139983,6,0.0,SAT,,0.053,
57,57,1,14.367698,0,1.7976931348623157E308,-1,0.0,0.0,1,14.367698,6,0.0,SAT,,0.052,
58,58,1,34.714122,0,1.7976931348623157E308,-1,0.0,0.0,1,34.714122,6,0.0,SAT,,0.052,
59,59,1,13.715986,0,1.7976931348623157E308,-1,0.0,0.0,1,13.715986,6,0.0,SAT,,0.053,
60,60,1,86.546804,0,1.7976931348623157E308,-1,0.0,0.0,1,86.546804,6,0.0,SAT,,0.052,
61,61,1,14.598283,0,1.7976931348623157E308,-1,0.0,0.0,1,14.598283,6,0.0,SAT,,0.053,
62,62,1,25.21224,0,1.7976931348623157E308,-1,0.0,0.0,1,25.21224,6,0.0,SAT,,0.052,
63,63,1,14.793728,0,1.7976931348623157E308,-1,0.0,0.0,1,14.793728,6,0.0,SAT,,0.052,
64,64,1,68.9646,0,1.7976931348623157E308,-1,0.0,0.0,1,68.9646,6,0.0,SAT,,0.053,
65,65,1,14.617992,0,1.7976931348623157E308,-1,0.0,0.0,1,14.617992,6,0.0,SAT,,0.053,
66,66,1,18.232991,0,1.7976931348623157E308,-1,0.0,0.0,1,18.232991,7,0.0,SAT,,0.053,
67,67,1,13.820164,0,1.7976931348623157E308,-1,0.0,0.0,1,13.820164,7,0.0,SAT,,0.053,
68,68,1,16.404836,0,1.7976931348623157E308,-1,0.0,0.0,1,16.404836,7,0.0,SAT,,0.053,
69,69,1,29.68913,0,1.7976931348623157E308,-1,0.0,0.0,1,29.68913,7,0.0,SAT,,0.053,
70,70,1,15.34908,0,1.7976931348623157E308,-1,0.0,0.0,1,15.34908,7,0.0,SAT,,0.053,
71,71,1,44.332741,0,1.7976931348623157E308,-1,0.0,0.0,1,44.332741,7,0.0,SAT,,0.052,
72,72,1,205.359808,0,1.7976931348623157E308,-1,0.0,0.0,1,205.359808,7,0.0,SAT,,0.053,
73,73,1,147.768606,0,1.7976931348623157E308,-1,0.0,0.0,1,147.768606,7,0.0,SAT,,0.053,
74,74,1,21.984659,0,1.7976931348623157E308,-1,0.0,0.0,1,21.984659,7,0.0,SAT,,0.052,
75,75,1,138.365389,0,1.7976931348623157E308,-1,0.0,0.0,1,138.365389,7,0.0,SAT,,0.052,
76,76,1,169.558852,0,1.7976931348623157E308,-1,0.0,0.0,1,169.558852,7,0.0,SAT,,0.053,
77,77,1,19.449421,0,1.7976931348623157E308,-1,0.0,0.0,1,19.449421,8,0.0,SAT,,0.052,
78,78,1,0.602523,0,1.7976931348623157E308,-1,0.0,0.0,1,0.602523,8,0.0,SAT,,0.053,
79,79,1,24.528119,0,1.7976931348623157E308,-1,0.0,0.0,1,24.528119,8,0.0,SAT,,0.053,
80,80,1,15.581934,0,1.7976931348623157E308,-1,0.0,0.0,1,15.581934,8,0.0,SAT,,0.053,
81,81,1,26.158889,0,1.7976931348623157E308,-1,0.0,0.0,1,26.158889,8,0.0,SAT,,0.053,
82,82,1,98.244763,0,1.7976931348623157E308,-1,0.0,0.0,1,98.244763,8,0.0,SAT,,0.053,
83,83,1,16.722562,0,1.7976931348623157E308,-1,0.0,0.0,1,16.722562,8,0.0,SAT,,0.052,
84,84,1,13.384954,0,1.7976931348623157E308,-1,0.0,0.0,1,13.384954,8,0.0,SAT,,0.053,
85,85,1,3.96133,0,1.7976931348623157E308,-1,0.0,0.0,1,3.96133,8,0.0,SAT,,0.053,
86,86,1,93.975585,0,1.7976931348623157E308,-1,0.0,0.0,1,93.975585,8,0.0,SAT,,0.053,
87,87,1,5.083409,0,1.7976931348623157E308,-1,0.0,0.0,1,5.083409,8,0.0,SAT,,0.053,
88,88,1,2.167913,0,1.7976931348623157E308,-1,0.0,0.0,1,2.167913,9,0.0,SAT,,0.053,
89,89,1,31.278204,0,1.7976931348623157E308,-1,0.0,0.0,1,31.278204,9,0.0,SAT,,0.061,
90,90,1,2.900371,0,1.7976931348623157E308,-1,0.0,0.0,1,2.900371,9,0.0,SAT,,0.052,
91,91,1,3.111717,0,1.7976931348623157E308,-1,0.0,0.0,1,3.111717,9,0.0,SAT,,0.052,
92,92,1,1.344578,0,1.7976931348623157E308,-1,0.0,0.0,1,1.344578,9,0.0,SAT,,0.053,
