Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.061,
2,2,1,102.960838,0,1.7976931348623157E308,-1,0.0,0.0,1,102.960838,1,0.0,SAT,,0.055,
3,3,1,26.125876,0,1.7976931348623157E308,-1,0.0,0.0,1,26.125876,1,0.0,SAT,,0.054,
4,4,1,18.756348,0,1.7976931348623157E308,-1,0.0,0.0,1,18.756348,1,0.0,SAT,,0.055,
5,5,1,63.92214,0,1.7976931348623157E308,-1,0.0,0.0,1,63.92214,1,0.0,SAT,,0.055,
6,6,1,86.573014,0,1.7976931348623157E308,-1,0.0,0.0,1,86.573014,1,0.0,SAT,,0.054,
7,7,1,62.667487,0,1.7976931348623157E308,-1,0.0,0.0,1,62.667487,1,0.0,SAT,,0.053,
8,8,1,7.61166,0,1.7976931348623157E308,-1,0.0,0.0,1,7.61166,1,0.0,SAT,,0.055,
9,9,1,153.887454,0,1.7976931348623157E308,-1,0.0,0.0,1,153.887454,1,0.0,SAT,,0.054,
10,10,1,48.665375,0,1.7976931348623157E308,-1,0.0,0.0,1,48.665375,1,0.0,SAT,,0.054,
11,11,1,83.519225,0,1.7976931348623157E308,-1,0.0,0.0,1,83.519225,1,0.0,SAT,,0.054,
12,12,1,139.485466,0,1.7976931348623157E308,-1,0.0,0.0,1,139.485466,1,0.0,SAT,,0.053,
13,13,1,95.895645,0,1.7976931348623157E308,-1,0.0,0.0,1,95.895645,2,0.0,SAT,,0.063,
14,14,1,30.284076,0,1.7976931348623157E308,-1,0.0,0.0,1,30.284076,2,0.0,SAT,,0.053,
15,15,1,3.489888,0,1.7976931348623157E308,-1,0.0,0.0,1,3.489888,2,0.0,SAT,,0.054,
16,16,1,35.645218,0,1.7976931348623157E308,-1,0.0,0.0,1,35.645218,2,0.0,SAT,,0.053,
17,17,1,18.760613,0,1.7976931348623157E308,-1,0.0,0.0,1,18.760613,2,0.0,SAT,,0.053,
18,18,1,58.67945,0,1.7976931348623157E308,-1,0.0,0.0,1,58.67945,2,0.0,SAT,,0.053,
19,19,1,50.735354,0,1.7976931348623157E308,-1,0.0,0.0,1,50.735354,2,0.0,SAT,,0.053,
20,20,1,49.209899,0,1.7976931348623157E308,-1,0.0,0.0,1,49.209899,2,0.0,SAT,,0.054,
21,21,1,45.446737,0,1.7976931348623157E308,-1,0.0,0.0,1,45.446737,2,0.0,SAT,,0.053,
22,22,1,46.877337,0,1.7976931348623157E308,-1,0.0,0.0,1,46.877337,2,0.0,SAT,,0.053,
23,23,1,111.089803,0,1.7976931348623157E308,-1,0.0,0.0,1,111.089803,3,0.0,SAT,,0.054,
24,24,1,17.1453,0,1.7976931348623157E308,-1,0.0,0.0,1,17.1453,3,0.0,SAT,,0.054,
25,25,1,109.559999,0,1.7976931348623157E308,-1,0.0,0.0,1,109.559999,3,0.0,SAT,,0.053,
26,26,1,2.299906,0,1.7976931348623157E308,-1,0.0,0.0,1,2.299906,3,0.0,SAT,,0.053,
27,27,1,136.435479,0,1.7976931348623157E308,-1,0.0,0.0,1,136.435479,3,0.0,SAT,,0.053,
28,28,1,13.817347,0,1.7976931348623157E308,-1,0.0,0.0,1,13.817347,3,0.0,SAT,,0.053,
29,29,1,20.486011,0,1.7976931348623157E308,-1,0.0,0.0,1,20.486011,3,0.0,SAT,,0.053,
30,30,1,63.822905,0,1.7976931348623157E308,-1,0.0,0.0,1,63.822905,3,0.0,SAT,,0.053,
31,31,1,18.362564,0,1.7976931348623157E308,-1,0.0,0.0,1,18.362564,3,0.0,SAT,,0.053,
32,32,1,117.034101,0,1.7976931348623157E308,-1,0.0,0.0,1,117.034101,3,0.0,SAT,,0.053,
33,33,1,3.273713,0,1.7976931348623157E308,-1,0.0,0.0,1,3.273713,4,0.0,SAT,,0.054,
34,34,1,184.786897,0,1.7976931348623157E308,-1,0.0,0.0,1,184.786897,4,0.0,SAT,,0.055,
35,35,1,13.812636,0,1.7976931348623157E308,-1,0.0,0.0,1,13.812636,4,0.0,SAT,,0.054,
36,36,1,8.12308,0,1.7976931348623157E308,-1,0.0,0.0,1,8.12308,4,0.0,SAT,,0.054,
37,37,1,3.411263,0,1.7976931348623157E308,-1,0.0,0.0,1,3.411263,4,0.0,SAT,,0.053,
38,38,1,57.354692,0,1.7976931348623157E308,-1,0.0,0.0,1,57.354692,4,0.0,SAT,,0.053,
39,39,1,1.738618,0,1.7976931348623157E308,-1,0.0,0.0,1,1.738618,4,0.0,SAT,,0.054,
40,40,1,27.231475,0,1.7976931348623157E308,-1,0.0,0.0,1,27.231475,4,0.0,SAT,,0.054,
41,41,1,15.03202,0,1.7976931348623157E308,-1,0.0,0.0,1,15.03202,4,0.0,SAT,,0.053,
42,42,1,44.104873,0,1.7976931348623157E308,-1,0.0,0.0,1,44.104873,4,0.0,SAT,,0.053,
43,43,1,1.280231,0,1.7976931348623157E308,-1,0.0,0.0,1,1.280231,4,0.0,SAT,,0.053,
44,44,1,5.906886,0,1.7976931348623157E308,-1,0.0,0.0,1,5.906886,5,0.0,SAT,,0.053,
45,45,1,32.365835,0,1.7976931348623157E308,-1,0.0,0.0,1,32.365835,5,0.0,SAT,,0.053,
46,46,1,1.901343,0,1.7976931348623157E308,-1,0.0,0.0,1,1.901343,5,0.0,SAT,,0.053,
47,47,1,148.48351,0,1.7976931348623157E308,-1,0.0,0.0,1,148.48351,5,0.0,SAT,,0.053,
48,48,1,8.985964,0,1.7976931348623157E308,-1,0.0,0.0,1,8.985964,5,0.0,SAT,,0.053,
49,49,1,7.412266,0,1.7976931348623157E308,-1,0.0,0.0,1,7.412266,5,0.0,SAT,,0.053,
